threshold,precision,recall,f1
0.3794722118326241,0.03918150119287943,0.8489065606361829,0.07490571002535203
0.379473520731791,0.03918329892177105,0.8489065606361829,0.07490899521942357
0.37947755777197045,0.03918509681563733,0.8489065606361829,0.07491228070167004
0.379479837772907,0.039186894874500985,0.8489065606361829,0.07491556647212934
0.3794815631466815,0.03918869309838473,0.8489065606361829,0.07491885253083941
0.37950338199335176,0.039190491487311276,0.8489065606361829,0.07492213887783818
0.37950509610969557,0.03919229004130335,0.8489065606361829,0.07492542551316357
0.37950639013029425,0.03919408876038368,0.8489065606361829,0.07492871243685356
0.37950835048027987,0.039195887644574996,0.8489065606361829,0.07493199964894608
0.37951192515582755,0.03919768669390003,0.8489065606361829,0.07493528714947909
0.3795191037359277,0.03919948590838153,0.8489065606361829,0.07493857493849056
0.3795206527338135,0.03920128528804223,0.8489065606361829,0.07494186301601846
0.3795280016074111,0.03920308483290488,0.8489065606361829,0.07494515138210077
0.3795350181461523,0.039204884542992244,0.8489065606361829,0.0749484400367755
0.3795366412377287,0.03920668441832706,0.8489065606361829,0.07495172898008061
0.3795379188349789,0.039208484458932095,0.8489065606361829,0.0749550182120541
0.37955304885367075,0.03921028466483012,0.8489065606361829,0.074958307732734
0.3795597628917827,0.0392120850360439,0.8489065606361829,0.0749615975421583
0.37956111097263895,0.0392138855725962,0.8489065606361829,0.07496488764036503
0.37956690241375246,0.0392156862745098,0.8489065606361829,0.07496817802739222
0.3795692619331996,0.03921748714180749,0.8489065606361829,0.07497146870327788
0.37960139337228044,0.039219288174512056,0.8489065606361829,0.0749747596680601
0.3796089323290187,0.039221089372646276,0.8489065606361829,0.07497805092177687
0.3796177695997115,0.039222890736232946,0.8489065606361829,0.07498134246446625
0.3796350163997468,0.039224692265294875,0.8489065606361829,0.07498463429616634
0.3796407592847454,0.03922649395985485,0.8489065606361829,0.07498792641691517
0.37964077221931064,0.03922829581993569,0.8489065606361829,0.07499121882675083
0.3796428878326443,0.039230097845560204,0.8489065606361829,0.0749945115257114
0.37965356518526544,0.03923190003675119,0.8489065606361829,0.07499780451383493
0.3796713835548917,0.039233702393531494,0.8489065606361829,0.07500109779115958
0.37967549694946884,0.03923550491592392,0.8489065606361829,0.07500439135772338
0.3796855423526876,0.0392373076039513,0.8489065606361829,0.07500768521356448
0.3796865282188356,0.039239110457636464,0.8489065606361829,0.07501097935872097
0.37969434294900267,0.03924091347700225,0.8489065606361829,0.07501427379323101
0.3796968826476484,0.0392427166620715,0.8489065606361829,0.07501756851713268
